begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2019-02-18,169.550000,172.970000,173.320000,169.490000,81250012,reg,False,AAPL
2019-02-25,174.160000,174.970000,175.870000,172.730000,120872184,reg,False,AAPL
2019-03-04,175.690000,172.910000,177.750000,169.500000,116779738,reg,False,AAPL
2019-03-11,175.490000,186.120000,187.330000,175.350000,158133562,reg,False,AAPL
2019-03-18,185.800000,191.050000,197.690000,184.730000,182343335,reg,False,AAPL
2019-03-25,191.510000,189.950000,192.880000,184.580000,167838582,reg,False,AAPL
2019-04-01,191.640000,197.040000,197.100000,188.380000,111540445,reg,False,AAPL
2019-04-08,196.420000,198.870000,202.850000,196.210000,132006698,reg,False,AAPL
2019-04-15,198.580000,203.860000,204.150000,198.010000,96335577,reg,False,AAPL
2019-04-22,202.830000,204.300000,208.480000,202.120000,97495453,reg,False,AAPL
2019-04-29,204.400000,211.750000,215.310000,199.110000,186455669,reg,False,AAPL
2019-05-06,204.290000,197.180000,208.840000,192.770000,173663634,reg,False,AAPL
2019-05-13,187.710000,189.000000,192.468900,182.850000,186415472,reg,False,AAPL
2019-05-20,183.520000,178.970000,188.000000,177.810000,156970116,reg,False,AAPL
2019-05-27,178.920000,175.070000,180.590000,174.990000,104691321,reg,False,AAPL
2019-06-03,175.600000,190.150000,191.920000,170.270000,154348161,reg,False,AAPL
2019-06-10,191.810000,192.740000,196.790000,190.300000,111843021,reg,False,AAPL
2019-06-17,192.900000,198.780000,200.850000,192.170000,131658960,reg,False,AAPL
2019-06-24,198.540000,197.960000,201.570000,195.290000,117368626,reg,False,AAPL
2019-07-01,203.170000,204.230000,205.080000,200.650000,72879519,reg,False,AAPL
2019-07-08,200.810000,203.300000,204.390000,198.410000,101600835,reg,False,AAPL
2019-07-15,204.090000,202.590000,206.500000,202.360000,87433154,reg,False,AAPL
2019-07-22,203.650000,207.740000,209.730000,203.610000,87153145,reg,False,AAPL
2019-07-29,208.460000,204.020000,221.370000,201.630000,219770512,reg,False,AAPL
2019-08-05,197.990000,200.990000,203.530000,192.580000,173211425,reg,False,AAPL
2019-08-12,199.620000,206.500000,212.140000,199.150000,163266105,reg,False,AAPL
2019-08-19,210.620000,202.640000,214.435000,201.000000,142066853,reg,False,AAPL
2019-08-26,205.860000,208.740000,210.450000,203.320000,110091319,reg,False,AAPL
2019-09-02,206.430000,213.260000,214.420000,204.220000,82585672,reg,False,AAPL
2019-09-09,214.840000,218.750000,226.420000,211.070000,175366943,reg,False,AAPL
2019-09-16,217.730000,217.730000,223.760000,217.473000,145352672,reg,False,AAPL
2019-09-23,218.950000,218.820000,222.490000,217.140200,117784618,reg,False,AAPL
2019-09-30,220.900000,227.010000,228.220000,215.132000,163381242,reg,False,AAPL
2019-10-07,226.270000,236.210000,237.640000,224.330000,150154587,reg,False,AAPL
2019-10-14,234.900000,236.410000,238.134200,233.200000,108390724,reg,False,AAPL
2019-10-21,237.520000,246.580000,246.730000,237.320000,101269580,reg,False,AAPL
2019-10-28,247.420000,255.820000,255.930000,237.260000,163555484,reg,False,AAPL
2019-11-04,257.330000,260.140000,260.440000,255.365000,106014081,reg,False,AAPL
2019-11-11,258.300000,265.760000,265.780000,258.280000,115661500,reg,False,AAPL
2019-11-18,265.800000,261.780000,268.000000,260.400000,114060454,reg,False,AAPL
2019-11-25,262.710000,267.250000,268.000000,262.500000,75404884,reg,False,AAPL
2019-12-02,267.270000,270.710000,271.000000,256.290000,115090042,reg,False,AAPL
2019-12-09,270.000000,275.150000,275.300000,264.910000,142408267,reg,False,AAPL
2019-12-16,277.000000,279.440000,282.650000,276.980000,183341280,reg,False,AAPL
2019-12-23,280.530000,289.800000,293.970000,280.373500,96724537,reg,False,AAPL
2019-12-30,289.460000,297.430000,300.600000,285.220000,131852981,reg,False,AAPL
2020-01-06,293.790000,310.330000,312.670000,292.750000,168452059,reg,False,AAPL
2020-01-13,311.640000,318.730000,318.740000,309.550000,163317432,reg,False,AAPL
2020-01-20,317.190000,318.310000,323.330000,315.650000,115921302,reg,False,AAPL
2020-01-27,310.060000,309.510000,327.850000,304.880000,216776323,reg,False,AAPL
2020-02-03,304.300000,320.030000,325.220000,302.220000,163134650,reg,False,AAPL
2020-02-10,314.180000,324.950000,327.220000,313.850000,123065907,reg,False,AAPL
2020-02-17,315.360000,313.050000,324.650000,310.500000,119254440,reg,False,AAPL
2020-02-24,297.260000,273.360000,304.180000,256.370000,349768234,reg,False,AAPL
2020-03-02,282.280000,289.030000,304.000000,277.720000,323450224,reg,False,AAPL
2020-03-09,263.750000,277.970000,286.440000,248.000000,404405247,reg,False,AAPL
2020-03-16,241.950000,229.240000,259.080000,228.000000,405065837,reg,False,AAPL
2020-03-23,228.080000,247.740000,258.680000,212.610000,346165813,reg,False,AAPL
2020-03-30,250.740000,241.410000,262.490000,236.900000,209252759,reg,False,AAPL
2020-04-06,250.900000,267.990000,271.700000,249.380000,183929846,reg,False,AAPL
2020-04-13,268.310000,282.800000,288.250000,265.830000,207386812,reg,False,AAPL
2020-04-20,277.950000,282.970000,283.010000,265.430000,169846750,reg,False,AAPL
2020-04-27,281.800000,289.070000,299.000000,278.200000,197513427,reg,False,AAPL
2020-05-04,289.170000,310.130000,310.350000,286.317200,168228968,reg,False,AAPL
2020-05-11,308.100000,307.710000,319.688000,300.210000,208536826,reg,False,AAPL
2020-05-18,313.170000,318.890000,320.890000,310.324100,133274690,reg,False,AAPL
2020-05-25,323.500000,317.940000,324.240000,313.090000,131465363,reg,False,AAPL
2020-06-01,317.750000,331.500000,331.750000,317.210000,124490802,reg,False,AAPL
2020-06-08,330.250000,338.800000,354.770000,327.320000,202956789,reg,False,AAPL
2020-06-15,333.250000,349.720000,356.560000,332.580000,194985086,reg,False,AAPL
2020-06-22,351.340000,353.630000,372.380000,351.150000,220750873,reg,False,AAPL
2015-06-29,86.610000,87.285000,87.950000,85.570000,101359881,reg,False,FB
2015-07-06,86.490000,87.950000,88.220000,85.231000,128648451,reg,False,FB
2015-07-13,88.660000,94.970000,95.390000,88.420000,163296841,reg,False,FB
2015-07-20,95.850000,96.950000,99.240000,94.810000,185477154,reg,False,FB
2015-07-27,96.580000,94.010000,97.280000,91.800000,271190062,reg,False,FB
2015-08-03,93.530000,94.300000,98.740000,92.800000,144762790,reg,False,FB
2015-08-10,95.680000,94.420000,95.900000,91.190000,104616983,reg,False,FB
2015-08-17,94.420000,86.060000,96.100000,85.610000,171220554,reg,False,FB
2015-08-24,77.030000,91.010000,91.480000,72.000000,256503519,reg,False,FB
2015-08-31,90.600000,88.260000,91.050000,86.500000,150515428,reg,False,FB
2015-09-07,89.690000,92.050000,92.080000,88.830000,107186113,reg,False,FB
2015-09-14,92.310000,94.400000,95.510000,91.600000,145450202,reg,False,FB
2015-09-21,94.620000,92.770000,96.490000,91.920000,145447879,reg,False,FB
2015-09-28,92.080000,92.070000,92.290000,85.720000,186816158,reg,False,FB
2015-10-05,92.940000,93.240000,94.270000,90.470000,121213503,reg,False,FB
2015-10-12,93.320000,97.540000,97.590000,92.670000,110153632,reg,False,FB
2015-10-19,97.180000,102.190000,102.850000,96.470000,145817167,reg,False,FB
2015-10-26,102.200000,101.970000,105.120000,101.550000,127641994,reg,False,FB
2015-11-02,102.460000,107.095000,110.650000,101.180000,187032796,reg,False,FB
2015-11-09,107.000000,103.950000,109.870000,103.830000,127675397,reg,False,FB
2015-11-16,103.320000,107.320000,107.880000,100.470000,147603170,reg,False,FB
2015-11-23,107.190000,105.450000,107.468000,104.390000,64538364,reg,False,FB
2015-11-30,105.840000,106.180000,107.920000,103.350000,112055316,reg,False,FB
2015-12-07,106.480000,102.120000,106.910000,101.910000,103275988,reg,False,FB
2015-12-14,102.285000,104.040000,107.750000,101.460000,126928259,reg,False,FB
2015-12-21,104.910000,105.020000,106.110000,103.600000,56847715,reg,False,FB
2015-12-28,105.030000,104.660000,107.740000,104.530000,61755705,reg,False,FB
2016-01-04,101.950000,97.330000,103.770000,97.031100,166842028,reg,False,FB
2016-01-11,97.910000,94.970000,100.580000,92.450000,186529732,reg,False,FB
2016-01-18,96.530000,97.940000,98.070000,89.370000,151064011,reg,False,FB
2016-01-25,98.580000,112.210000,112.840000,94.230000,288273329,reg,False,FB
2016-02-01,112.300000,104.070000,117.590000,103.180000,278615561,reg,False,FB
2016-02-08,100.090000,102.010000,105.110000,96.820000,258965528,reg,False,FB
2016-02-15,103.800000,104.570000,106.000000,100.240000,151758617,reg,False,FB
2016-02-22,105.490000,107.920000,109.450000,102.740000,152033937,reg,False,FB
2016-02-29,107.600000,108.390000,110.550000,106.750000,131558421,reg,False,FB
2016-03-07,108.070000,109.410000,109.420000,104.400000,123196160,reg,False,FB
2016-03-14,109.280000,111.450000,112.690000,108.770000,120110727,reg,False,FB
2016-03-21,111.655000,113.050000,113.190000,111.030000,73850143,reg,False,FB
2016-03-28,113.320000,116.060000,116.990000,112.950000,130380305,reg,False,FB
2016-04-04,114.070000,110.630000,114.890000,109.900000,161477263,reg,False,FB
2016-04-11,110.702500,109.640000,112.650000,106.520000,203633903,reg,False,FB
2016-04-18,109.725000,110.560000,114.040000,109.010000,131738986,reg,False,FB
2016-04-25,109.870000,117.580000,120.790000,106.310000,220003210,reg,False,FB
2016-05-02,117.820000,119.490000,119.637000,116.570000,124113388,reg,False,FB
2016-05-09,119.540000,119.810000,121.080000,114.800000,106556252,reg,False,FB
2016-05-16,119.380000,117.350000,119.610000,115.880000,113707721,reg,False,FB
2016-05-23,117.410000,119.380000,119.850000,115.940000,92635028,reg,False,FB
2016-05-30,119.460000,118.470000,120.100000,117.820000,65940515,reg,False,FB
2016-06-06,118.620000,116.620000,119.430000,116.260000,76723361,reg,False,FB
2016-06-13,114.990000,113.020000,115.480000,112.560000,113036713,reg,False,FB
